Bairro,Numero de quartos,Metros quadrados,Vagas de Garagem,Numero de Banheiros,Preço
"Londrina, Paraíso",2,47m²,1,1,R$ 170.000
"Londrina, Nossa Senhora de Lourdes",3,65m²,1,1,R$ 235.000
"Londrina, Colinas",2,108m²,1,1,R$ 250.000
"Londrina, Jardim Maria Celina",2,47m²,1,1,R$ 190.000
"Londrina, Nova Olinda",2,45m²,1,1,R$ 112.000
"Londrina, Ideal",3,69m²,1,1,R$ 220.000
"Londrina, Jardim Santa Cruz",2,50m²,1,1,R$ 130.000
"Cambé, Chácara Manella",2,43m²,1,1,R$ 180.000
"Cambé, Jardim Vitória",2,46m²,1,1,R$ 174.900
"Londrina, Jardim Maria Celina",2,47m²,1,1,R$ 190.000
"Londrina, Nova Olinda",2,46m²,1,1,R$ 159.000
"Londrina, Jardim São Paulo II",2,63m²,1,2,R$ 250.000
"Londrina, Colinas",2,108m²,1,1,R$ 250.000
"Londrina, Colinas",2,44m²,1,1,R$ 200.000
"Londrina, Nova Olinda",2,45m²,1,1,R$ 112.000
"Londrina, Jardim São Paulo II",3,63m²,1,1,R$ 240.000
"Londrina, Jardim Bandeirantes",3,68m²,1,1,R$ 181.000
"Cambé, Jardim Vitória",2,46m²,1,1,R$ 174.900
"Londrina, Centro",1,33m²,1,1,R$ 200.000
"Londrina, Paraíso",2,47m²,1,1,R$ 160.000
"Cambé, Novo Bandeirantes",2,67m²,1,1,R$ 239.000
"Londrina, Jardim das Américas",3,63m²,1,1,R$ 175.000
"Londrina, Leonor",2,40m²,1,1,R$ 173.000
"Londrina, Nova Olinda",2,50m²,1,1,R$ 140.000
"Londrina, Jardim Paraná",2,70m²,1,1,R$ 199.000
"Londrina, Cidade Industrial 2",2,45m²,1,1,R$ 175.000
"Londrina, Nova Olinda",2,46m²,1,1,R$ 159.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,46m²,1,1,R$ 175.000
"Londrina, Paraíso",2,44m²,1,1,R$ 159.000
"Londrina, Jardim Strass",2,70m²,2,1,R$ 247.000
"Londrina, Ouro Verde",2,45m²,1,1,R$ 190.000
"Londrina, Marumbi",3,58m²,1,1,R$ 150.000
"Londrina, Colinas",2,45m²,1,1,R$ 180.000
"Londrina, Santa Izabel",2,48m²,1,1,R$ 205.000
"Londrina, Ideal",2,50m²,1,1,R$ 180.000
"Londrina, Jardim Strass",2,70m²,2,1,R$ 247.000
"Londrina, Ideal",2,45m²,1,1,R$ 215.000
"Londrina, Colinas",2,44m²,1,1,R$ 200.000
"Londrina, Jardim Santa Cruz",3,58m²,1,1,R$ 185.000
"Londrina, Leonor",2,40m²,1,1,R$ 173.000
"Londrina, Cidade Industrial 2",2,41m²,1,1,R$ 245.000
"Londrina, Jardim Bandeirantes",3,68m²,1,1,R$ 181.000
"Londrina, Paraíso",2,47m²,1,1,R$ 170.000
"Londrina, Jardim Maria Luiza",2,45m²,1,1,R$ 145.000
"Londrina, Jardim São Paulo II",2,63m²,1,2,R$ 250.000
"Londrina, Jardim Nações Unidas",2,47m²,1,1,R$ 170.000
"Londrina, Jardim São Paulo II",2,44m²,1,1,R$ 205.000
"Londrina, Paraíso",2,47m²,1,1,R$ 170.000
"Londrina, Jardim Maria Celina",2,46m²,1,1,R$ 230.000
"Londrina, Leonor",2,45m²,1,1,R$ 190.000
"Londrina, Paraíso",2,47m²,1,1,R$ 150.000
"Londrina, Jardim das Américas",2,44m²,1,1,R$ 160.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,46m²,1,1,R$ 180.000
"Londrina, Jardim das Américas",3,63m²,1,1,R$ 175.000
"Londrina, Colinas",2,108m²,1,1,R$ 250.000
"Cambé, Jardim Terra Nova",2,70m²,1,1,R$ 240.000
"Londrina, Paraíso",2,47m²,1,1,R$ 170.000
"Londrina, Cidade Industrial 2",2,45m²,1,1,R$ 175.000
"Londrina, Nova Olinda",2,46m²,1,1,R$ 159.000
"Londrina, Jardim Santa Cruz",2,50m²,1,1,R$ 130.000
"Londrina, Jardim Maria Luiza",2,42m²,1,1,R$ 180.000
"Londrina, Conjunto Habitacional José Garcia Molina",2,51m²,1,1,R$ 165.000
"Londrina, Paraíso",2,48m²,1,1,R$ 160.000
"Londrina, Parque Jamaica",2,41m²,1,1,R$ 155.000
"Londrina, Vila Ipiranga",2,65m²,1,1,R$ 220.000
"Londrina, Jardim Nações Unidas",2,47m²,1,1,R$ 195.000
"Londrina, Colinas",2,45m²,1,1,R$ 180.000
"Londrina, Jardim São Paulo II",3,63m²,1,1,R$ 240.000
"Londrina, Jardim Maria Celina",2,47m²,1,1,R$ 190.000
"Londrina, Heimtal",3,80m²,1,2,R$ 230.000
"Londrina, Centro",1,33m²,1,1,R$ 200.000
"Londrina, Ideal",3,69m²,1,1,R$ 220.000
"Londrina, Nova Olinda",2,45m²,1,1,R$ 112.000
"Londrina, Jardim Paraná",2,70m²,1,1,R$ 199.000
"Londrina, Ouro Verde",2,45m²,1,1,R$ 190.000
"Londrina, Ideal",3,69m²,1,1,R$ 220.000
"Londrina, Colinas",2,83m²,1,1,R$ 245.000
"Londrina, Gleba Ribeirão Limeiro",2,47m²,1,1,R$ 235.000
"Londrina, Nossa Senhora de Lourdes",3,65m²,1,1,R$ 235.000
"Londrina, Gleba Ribeirão Limeiro",2,44m²,1,1,R$ 235.000
"Cambé, Chácara Manella",2,43m²,1,1,R$ 180.000
"Londrina, Nova Olinda",2,50m²,1,1,R$ 140.000
"Londrina, Jardim Jóquei Club",2,47m²,1,1,R$ 245.000
"Londrina, Jardim Maria Luiza",2,45m²,1,1,R$ 190.000
"Cambé, Novo Bandeirantes",2,67m²,1,1,R$ 239.000
"Londrina, Colinas",2,83m²,1,1,R$ 245.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,46m²,1,1,R$ 175.000
"Londrina, Paraíso",2,44m²,1,1,R$ 159.000
Ibiporã,2,81m²,2,1,R$ 240.000
"Londrina, Santa Izabel",2,48m²,1,1,R$ 205.000
"Londrina, Gleba Ribeirão Limeiro",2,44m²,1,1,R$ 215.000
"Cambé, Chácara Manella",2,43m²,1,1,R$ 205.000
"Londrina, Marumbi",3,58m²,1,1,R$ 150.000
"Londrina, Jardim Jóquei Club",1,35m²,1,1,R$ 181.000
"Cambé, Jardim Vitória",2,46m²,1,1,R$ 174.900
"Cambé, Chácara Manella",2,45m²,1,1,R$ 190.000
"Londrina, Paraíso",2,47m²,1,1,R$ 160.000
