Bairro,Numero de quartos,Metros quadrados,Vagas de Garagem,Numero de Banheiros,Preço
Petrópolis,4,297,1,4,1500000
Recanto do Salto,4,250,5,4,2700000
Gleba Fazenda Palhano,3,87,1,2,890000
Heimtal,3,88,2,1,270000
Conjunto Habitacional Milton Gavetti,3,150,3,2,315000
Conjunto Novo Amparo,3,45,1,1,60000
Colinas,2,70,2,2,285000
Brasília,4,470,4,4,644000
Santa Rosa,3,108,2,2,1300000
Gleba Fazenda Palhano,2,46,1,1,270000
Jardim Agari,2,56,1,2,480000
Conjunto Habitacional Maria Cecília Serrano de Oliveira,2,200,1,1,165000
Brasília,3,127,2,5,1230000
Brasília,3,130,2,5,1395000
Centro,3,80,1,2,650000
Jardim das Américas,3,82,2,2,400000
Jardim Itapoá,3,130,3,2,550000
Gleba Fazenda Palhano,2,103,2,3,995000
Brasília,3,115,1,2,410000
Terra Bonita,3,92,2,3,975000
Guanabara,3,269,4,5,3400000
Jardim Colúmbia D,3,120,2,3,450000
Jardim São Tomás,3,250,3,2,390000
Esperança,3,155,1,1,530000
Residencial Vila Romana,3,120,2,1,250000
Centro,4,232,2,2,890000
Aurora,2,64,1,2,550000
Andrade,3,124,2,3,1250000
Mediterrâneo,5,450,4,5,1600000
Brasília,3,120,2,2,269000
Centro,3,118,1,3,449000
Vila Casoni,3,69,1,1,270000
Gleba Fazenda Palhano,3,216,4,3,2400000
Centro,3,77,1,2,430000
Gleba Fazenda Palhano,2,58,1,2,670000
Brasília,3,125,2,2,385000
Jardim Maria Luiza,2,42,1,1,155000
Igapó,3,99,1,2,550000
Centro,3,87,1,2,580000
Gleba Fazenda Palhano,3,142,1,3,1738000
Califórnia,3,80,2,1,280000
Jardim Santa Alice,3,94,3,2,430000
Shangri-lá,3,154,1,2,350000
Vale dos Tucanos,3,64,1,1,235000
Jardim do Lago,3,217,2,4,1820000
Brasília,5,333,5,5,850000
Parque Jamaica,3,71,1,2,495000
Conjunto Habitacional Alexandre Urbanas,4,214,4,5,1550000
Jardim Shangri-la A,2,67,1,2,583000
Olímpico,2,55,1,2,369000
Marumbi,3,155,2,1,447000
Bela Suiça,5,1000,5,5,15000000
Centro,3,103,1,2,500000
San Remo,3,73,1,1,349000
Gleba Fazenda Palhano,2,89,1,3,829000
Gleba Fazenda Palhano,3,90,2,2,839000
Vila Nova,2,55,1,2,280000
Residencial Portal do Sol,2,67,2,1,235000
Indústrias Leves,5,530,4,2,3000000
Centro,4,228,2,2,790000
Ideal,3,77,1,2,246000
Guanabara,3,330,2,3,1500000
Jardim Alto do Cafezal,3,70,2,1,140000
Aurora,2,75,1,2,605000
Centro,3,123,2,2,550000
Gleba Fazenda Palhano,3,79,2,2,590000
Centro,4,232,2,4,890000
Terra Bonita,3,350,5,5,1900000
Centro,3,108,1,1,399000
Gleba Fazenda Palhano,3,79,2,2,629000
Gleba Fazenda Palhano,3,129,2,3,979900
Santa Rosa,3,245,3,5,2300000
Centro,1,24,1,1,220000
Jardim Portal de Itamaracá,3,84,2,2,350000
Estância Santa Paula,4,198,4,4,2300000
Residencial Abussafe,3,98,3,2,449450
Petrópolis,3,104,2,3,1109900
Conjunto Habitacional Doutor Farid Libos,2,45,1,1,220000
Jardim Alvorada,3,118,2,1,390000
Gleba Fazenda Palhano,2,92,1,2,989000
Brasília,3,118,1,2,290000
Gleba Fazenda Palhano,4,235,3,5,2950000
Cafezal,3,120,2,1,300000
Colinas,2,44,1,1,250000
Gleba Fazenda Palhano,3,173,2,5,1930000
